seed,policy,train_accuracy,validation_accuracy,clean_accuracy,shift_accuracy,dark_accuracy,training_seconds
7,Sem augmentation,69.26000118255615,62.300002574920654,62.34999895095825,46.50000035762787,55.72999715805054,21.52817088000029
7,Geometria,62.03555464744568,60.47999858856201,60.909998416900635,44.47999894618988,53.109997510910034,38.45842408000044
7,Geometria + cor,63.66888880729675,62.3199999332428,62.91000247001648,46.09000086784363,59.5300018787384,88.51785473699965
7,Geometria + Cutout,60.928887128829956,59.28000211715698,59.78999733924866,48.14000129699707,53.109997510910034,75.86922743299965
7,Geometria + Mixup,61.213332414627075,59.56000089645386,59.579998254776,44.35000121593475,52.75999903678894,38.91850096200051
7,Geometria + CutMix,55.988889932632446,55.44000267982483,55.479997396469116,48.260000348091125,45.14000117778778,37.27301201299997
23,Sem augmentation,66.79999828338623,57.35999941825867,58.31000208854675,35.429999232292175,53.17000150680542,23.98707015799937
23,Geometria,61.37111186981201,58.93999934196472,59.74000096321106,42.14999973773956,52.02000141143799,40.05258087199945
23,Geometria + cor,61.77111268043518,59.700000286102295,59.689998626708984,41.769999265670776,57.05000162124634,91.12743181299993
23,Geometria + Cutout,61.91777586936951,59.74000096321106,60.579997301101685,44.31000053882599,52.89999842643738,70.32694458399965
23,Geometria + Mixup,58.73110890388489,56.9599986076355,57.1399986743927,35.38999855518341,54.78000044822693,34.401241494000715
23,Geometria + CutMix,55.871111154556274,55.44000267982483,55.11000156402588,41.98000133037567,45.649999380111694,35.63877321700056
42,Sem augmentation,68.28444600105286,60.920000076293945,61.549997329711914,43.869999051094055,53.89999747276306,19.518510374999096
42,Geometria,64.02000188827515,62.379997968673706,62.459999322891235,49.73999857902527,54.40000295639038,34.262987459000215
42,Geometria + cor,64.94222283363342,62.40000128746033,63.63000273704529,45.28999924659729,59.780001640319824,90.42969565400017
42,Geometria + Cutout,62.975555658340454,61.41999959945679,62.05000281333923,46.99999988079071,52.93999910354614,69.36707327000113
42,Geometria + Mixup,59.477776288986206,57.66000151634216,59.43999886512756,45.21999955177307,51.13999843597412,36.82387487300002
42,Geometria + CutMix,57.580000162124634,57.200002670288086,57.38999843597412,45.33999860286713,44.04999911785126,38.40882402199895
