seed,policy,train_accuracy,test_accuracy,shifted_accuracy,seconds
7,Sem augmentation,96.74999713897705,89.74999785423279,39.70000147819519,0.25683399899935466
7,Affine leve,90.70000052452087,88.65000009536743,65.79999923706055,3.838516322999567
7,Cutout,95.49999833106995,89.3999993801117,39.10000026226044,0.5435964970001805
7,Mixup,94.34999823570251,89.14999961853027,39.10000026226044,0.2719888399988122
7,Rotacao 180,88.80000114440918,83.39999914169312,44.999998807907104,0.24140528099997027
23,Sem augmentation,96.60000205039978,90.10000228881836,39.10000026226044,0.2231099719992926
23,Affine leve,91.14999771118164,89.14999961853027,65.20000100135803,3.9851062269990507
23,Cutout,96.24999761581421,89.55000042915344,41.24999940395355,0.6648132739992434
23,Mixup,94.74999904632568,89.0500009059906,40.14999866485596,0.3110708669992164
23,Rotacao 180,86.65000200271606,82.4500024318695,43.14999878406525,0.4003528590001224
42,Sem augmentation,96.45000100135803,90.35000205039978,39.80000019073486,0.2754370580005343
42,Affine leve,91.39999747276306,90.45000076293945,65.14999866485596,4.1402376540008845
42,Cutout,95.59999704360962,89.85000252723694,40.25000035762787,0.6951518909991137
42,Mixup,94.19999718666077,88.55000138282776,39.44999873638153,0.2951320169995597
42,Rotacao 180,87.55000233650208,82.99999833106995,43.59999895095825,0.2748398179992364
