operation,Albumentations,imgaug,torchvision Pillow,torchvision Pillow-SIMD,Keras
RandomCrop64,0.0017,nan,0.0182,0.0182,nan
PadToSize512,0.2413,nan,2.493,2.3682,nan
HorizontalFlip,0.7765,2.2299,0.3031,0.3054,2.0508
VerticalFlip,0.178,0.3899,0.2326,0.2308,0.1799
Rotate,3.8538,4.0581,16.16,9.5011,50.8632
ShiftScaleRotate,2.0605,2.4478,18.5401,10.6062,47.0568
Brightness,2.1018,2.3607,4.6854,3.4814,9.9237
ShiftHSV,10.3925,14.2255,34.7778,27.0215,nan
ShiftRGB,2.6159,2.1989,nan,nan,3.0598
Gamma,1.4832,nan,1.1397,1.1447,nan
Grayscale,1.2048,5.3895,1.6826,1.2721,nan
