table,dataset,model,without,with_aug,reported_gain,calculated_pp,inconsistent
2,VOC,DeepLabV3+,75.32,75.75,0.53,0.43,True
2,VOC,PSPNet,73.38,74.33,0.95,0.95,False
2,VOC,GCNet,71.86,72.93,1.07,1.07,False
2,VOC,ISANet,71.65,74.26,2.61,2.61,False
3,CIFAR-10,DenseNet,94.15,94.59,0.44,0.44,False
3,CIFAR-10,Wide-ResNet,93.34,94.67,1.33,1.33,False
3,CIFAR-10,Shake-ResNet,93.7,94.84,1.11,1.14,True
3,CIFAR-100,DenseNet,74.98,75.93,0.95,0.95,False
3,CIFAR-100,Wide-ResNet,74.46,76.52,2.06,2.06,False
3,CIFAR-100,Shake-ResNet,73.96,76.76,2.8,2.8,False
3,SVHN,DenseNet,97.91,97.98,0.07,0.07,False
3,SVHN,Wide-ResNet,98.23,98.31,0.8,0.08,True
3,SVHN,Shake-ResNet,98.37,98.4,0.3,0.03,True
4,COCO2017,Faster R-CNN mAP,36.4,36.8,2.4,0.4,True
4,COCO2017,CenterNet mAP,41.42,41.15,-0.27,-0.27,False
4,COCO2017,Faster R-CNN AP50,57.2,58.0,0.8,0.8,False
4,COCO2017,CenterNet AP50,58.29,58.01,-0.28,-0.28,False
4,COCO2017,Faster R-CNN AP75,39.5,40.0,0.5,0.5,False
4,COCO2017,CenterNet AP75,45.53,45.3,-0.23,-0.23,False
